player-1,player-2,player-3,avg
Mashrafe Mortaza,Mosharraf Hossain,Mosaddek Hossain,9
Mashrafe Mortaza,Ariful Haque,Mosharraf Hossain,0
Mashrafe Mortaza,Fazle Mahmud,Mosharraf Hossain,0
Mashrafe Mortaza,Arafat Sunny,Mosharraf Hossain,0
Mashrafe Mortaza,Mosharraf Hossain,Rubel Hossain,0
Mashrafe Mortaza,Mehidy Hasan Miraz,Mosharraf Hossain,0
Mashrafe Mortaza,Taijul Islam,Mosharraf Hossain,0
Mashrafe Mortaza,Mosharraf Hossain,Mahmudullah,35.5
Mashrafe Mortaza,Mosharraf Hossain,Tamim Iqbal,74.5
Mashrafe Mortaza,Mosharraf Hossain,Soumya Sarkar,17
Mashrafe Mortaza,Subashis Roy,Mosharraf Hossain,0
Mashrafe Mortaza,Mosharraf Hossain,Liton Das,0
Mashrafe Mortaza,Shakib Al Hasan,Mosharraf Hossain,55
Mashrafe Mortaza,Mustafizur Rahman,Mosharraf Hossain,0
Mashrafe Mortaza,Mosharraf Hossain,Anamul Haque,0
Mashrafe Mortaza,Mohammad Naim,Mosharraf Hossain,0
Mashrafe Mortaza,Mosharraf Hossain,Sabbir Rahman,48.5
Mashrafe Mortaza,Mosharraf Hossain,Shafiul Islam,8
Mashrafe Mortaza,Mosharraf Hossain,Abul Hasan,0
Mashrafe Mortaza,Mosharraf Hossain,Jubair Hossain,0
Mashrafe Mortaza,Mosharraf Hossain,Abu Jayed,0
Mashrafe Mortaza,Mosharraf Hossain,Afif Hossain,0
Mashrafe Mortaza,Imrul Kayes,Mosharraf Hossain,120
Mashrafe Mortaza,Mosharraf Hossain,Mohammad Saifuddin,0
Mashrafe Mortaza,Mosharraf Hossain,Najmul Hossain Shanto,0
Sunzamul Islam,Mosharraf Hossain,Mosaddek Hossain,0
Sunzamul Islam,Ariful Haque,Mosharraf Hossain,0
Sunzamul Islam,Fazle Mahmud,Mosharraf Hossain,0
Sunzamul Islam,Arafat Sunny,Mosharraf Hossain,0
Sunzamul Islam,Mosharraf Hossain,Rubel Hossain,0
Sunzamul Islam,Mehidy Hasan Miraz,Mosharraf Hossain,0
Sunzamul Islam,Taijul Islam,Mosharraf Hossain,0
Sunzamul Islam,Mosharraf Hossain,Mahmudullah,0
Sunzamul Islam,Mosharraf Hossain,Tamim Iqbal,0
Sunzamul Islam,Mosharraf Hossain,Soumya Sarkar,0
Sunzamul Islam,Subashis Roy,Mosharraf Hossain,0
Sunzamul Islam,Mosharraf Hossain,Liton Das,0
Sunzamul Islam,Shakib Al Hasan,Mosharraf Hossain,0
Sunzamul Islam,Mustafizur Rahman,Mosharraf Hossain,0
Sunzamul Islam,Mosharraf Hossain,Anamul Haque,0
Sunzamul Islam,Mohammad Naim,Mosharraf Hossain,0
Sunzamul Islam,Mosharraf Hossain,Sabbir Rahman,0
Sunzamul Islam,Mosharraf Hossain,Shafiul Islam,0
Sunzamul Islam,Mosharraf Hossain,Abul Hasan,0
Sunzamul Islam,Mosharraf Hossain,Jubair Hossain,0
Sunzamul Islam,Mosharraf Hossain,Abu Jayed,0
Sunzamul Islam,Mosharraf Hossain,Afif Hossain,0
Sunzamul Islam,Imrul Kayes,Mosharraf Hossain,0
Sunzamul Islam,Mosharraf Hossain,Mohammad Saifuddin,0
Sunzamul Islam,Mosharraf Hossain,Najmul Hossain Shanto,0
Ariful Haque,Mosharraf Hossain,Mosaddek Hossain,0
Fazle Mahmud,Mosharraf Hossain,Mosaddek Hossain,0
Arafat Sunny,Mosharraf Hossain,Mosaddek Hossain,0
Mosharraf Hossain,Mosaddek Hossain,Rubel Hossain,0
Mehidy Hasan Miraz,Mosharraf Hossain,Mosaddek Hossain,0
Taijul Islam,Mosharraf Hossain,Mosaddek Hossain,0
Mahmudullah,Mosharraf Hossain,Mosaddek Hossain,36
Mosharraf Hossain,Tamim Iqbal,Mosaddek Hossain,75
Mosharraf Hossain,Mosaddek Hossain,Soumya Sarkar,19
Subashis Roy,Mosharraf Hossain,Mosaddek Hossain,0
Mosharraf Hossain,Liton Das,Mosaddek Hossain,0
Shakib Al Hasan,Mosharraf Hossain,Mosaddek Hossain,55.5
Mustafizur Rahman,Mosharraf Hossain,Mosaddek Hossain,0
Mosharraf Hossain,Mosaddek Hossain,Anamul Haque,0
Mohammad Naim,Mosharraf Hossain,Mosaddek Hossain,0
Mosharraf Hossain,Mosaddek Hossain,Sabbir Rahman,49
Mosharraf Hossain,Mosaddek Hossain,Shafiul Islam,8.5
Abul Hasan,Mosharraf Hossain,Mosaddek Hossain,0
Jubair Hossain,Mosharraf Hossain,Mosaddek Hossain,0
Mosharraf Hossain,Abu Jayed,Mosaddek Hossain,0
Mosharraf Hossain,Afif Hossain,Mosaddek Hossain,0
Imrul Kayes,Mosharraf Hossain,Mosaddek Hossain,119
Mosharraf Hossain,Mosaddek Hossain,Mohammad Saifuddin,0
Mosharraf Hossain,Mosaddek Hossain,Najmul Hossain Shanto,0
Ariful Haque,Fazle Mahmud,Mosharraf Hossain,0
Ariful Haque,Arafat Sunny,Mosharraf Hossain,0
Ariful Haque,Mosharraf Hossain,Rubel Hossain,0
Ariful Haque,Mehidy Hasan Miraz,Mosharraf Hossain,0
Ariful Haque,Taijul Islam,Mosharraf Hossain,0
Mahmudullah,Ariful Haque,Mosharraf Hossain,0
Ariful Haque,Mosharraf Hossain,Tamim Iqbal,0
Ariful Haque,Mosharraf Hossain,Soumya Sarkar,0
Ariful Haque,Subashis Roy,Mosharraf Hossain,0
Ariful Haque,Mosharraf Hossain,Liton Das,0
Ariful Haque,Shakib Al Hasan,Mosharraf Hossain,0
Ariful Haque,Mustafizur Rahman,Mosharraf Hossain,0
Ariful Haque,Mosharraf Hossain,Anamul Haque,0
Ariful Haque,Mohammad Naim,Mosharraf Hossain,0
Ariful Haque,Mosharraf Hossain,Sabbir Rahman,0
Ariful Haque,Mosharraf Hossain,Shafiul Islam,0
Abul Hasan,Ariful Haque,Mosharraf Hossain,0
Jubair Hossain,Ariful Haque,Mosharraf Hossain,0
Ariful Haque,Mosharraf Hossain,Abu Jayed,0
Ariful Haque,Mosharraf Hossain,Afif Hossain,0
Ariful Haque,Imrul Kayes,Mosharraf Hossain,0
Ariful Haque,Mosharraf Hossain,Mohammad Saifuddin,0
Ariful Haque,Mosharraf Hossain,Najmul Hossain Shanto,0
Fazle Mahmud,Mosharraf Hossain,Arafat Sunny,0
Fazle Mahmud,Mosharraf Hossain,Rubel Hossain,0
Mehidy Hasan Miraz,Fazle Mahmud,Mosharraf Hossain,0
Fazle Mahmud,Mosharraf Hossain,Taijul Islam,0
Mahmudullah,Fazle Mahmud,Mosharraf Hossain,0
Fazle Mahmud,Mosharraf Hossain,Tamim Iqbal,0
Fazle Mahmud,Mosharraf Hossain,Soumya Sarkar,0
Fazle Mahmud,Mosharraf Hossain,Subashis Roy,0
Fazle Mahmud,Mosharraf Hossain,Liton Das,0
Fazle Mahmud,Mosharraf Hossain,Shakib Al Hasan,0
Mustafizur Rahman,Fazle Mahmud,Mosharraf Hossain,0
Fazle Mahmud,Mosharraf Hossain,Anamul Haque,0
Fazle Mahmud,Mosharraf Hossain,Mohammad Naim,0
Fazle Mahmud,Mosharraf Hossain,Sabbir Rahman,0
Fazle Mahmud,Mosharraf Hossain,Shafiul Islam,0
Abul Hasan,Fazle Mahmud,Mosharraf Hossain,0
Jubair Hossain,Fazle Mahmud,Mosharraf Hossain,0
