player-1,player-2,avg
Mohammad Saifuddin,CT Mutombodzi,0
CT Mutombodzi,R Murray,0
B Muzarabani,CT Mutombodzi,0
T Maruma,CT Mutombodzi,0
CK Coventry,CT Mutombodzi,0
Taijul Islam,CT Mutombodzi,0
CT Mutombodzi,AG Cremer,0
SC Williams,BB Chari,33.83333333
DT Tiripano,BB Chari,22
TS Kamunhukamwe,BB Chari,0
BB Chari,Tamim Iqbal,0
BB Chari,PS Masvaure,0
BB Chari,Najmul Hossain Shanto,0
TL Chatara,BB Chari,4.5
BB Chari,ehidy Hasan Miraz,0
Liton Das,BB Chari,0
BV Vitori,BB Chari,0
E Chigumbura,BB Chari,41.4
Mushfiqur Rahim,BB Chari,0
LN Roche,BB Chari,3.5
Mustafizur Rahman,BB Chari,0
T Mupariwa,BB Chari,0
BB Chari,PJ Moor,35.25
C Zhuwao,BB Chari,0
BB Chari,RW Chakabva,0
BB Chari,Mohammad Mithun,0
BRM Taylor,BB Chari,0
R Mutumbami,BB Chari,40
MN Waller,BB Chari,12
Mashrafe Mortaza,BB Chari,0
BB Chari,CB Mpofu,19
BB Chari,J Nyumbu,22.25
TK Musakanda,BB Chari,24
TP Kamungozi,BB Chari,0
KM Jarvis,BB Chari,0
BB Chari,S Matsikenyeri,0
CR Ervine,BB Chari,16.5
CJ Chibhabha,BB Chari,39.125
CT Mumba,BB Chari,8
CK Tshuma,BB Chari,0
T Muzarabani,BB Chari,20
Sikandar Raza,BB Chari,47
TS Chisoro,BB Chari,61
Mohammad Saifuddin,BB Chari,0
R Murray,BB Chari,25.5
B Muzarabani,BB Chari,2
T Maruma,BB Chari,0
CK Coventry,BB Chari,0
Taijul Islam,BB Chari,0
BB Chari,AG Cremer,28.75
SC Williams,DT Tiripano,48.625
SC Williams,TS Kamunhukamwe,42.33333333
SC Williams,Tamim Iqbal,0
SC Williams,PS Masvaure,0
SC Williams,Najmul Hossain Shanto,0
SC Williams,TL Chatara,35.5
SC Williams,ehidy Hasan Miraz,0
SC Williams,Liton Das,0
SC Williams,BV Vitori,20.8
E Chigumbura,SC Williams,59.14285714
SC Williams,Mushfiqur Rahim,0
LN Roche,SC Williams,0
Mustafizur Rahman,SC Williams,0
SC Williams,T Mupariwa,50.75
SC Williams,PJ Moor,41.73684211
SC Williams,C Zhuwao,68.8
SC Williams,RW Chakabva,52.8
SC Williams,Mohammad Mithun,0
BRM Taylor,SC Williams,89.66666667
R Mutumbami,SC Williams,45
MN Waller,SC Williams,37.28571429
